date,dau,dau_low,dau_high,wau,wau_low,wau_high,mau,mau_low,mau_high,intensity,intensity_low,intensity_high,retention_1_week_new_profile,retention_1_week_new_profile_low,retention_1_week_new_profile_high,retention_1_week_active_in_week_0,retention_1_week_active_in_week_0_low,retention_1_week_active_in_week_0_high
2017-07-01,77288791,77273672.48859707,77303909.51140293,188835787,188807092.4759703,188864481.5240297,289701783,289668931.68009883,289734634.31990117,3.6117026059260686,3.6113882792257925,3.6120169326263447,0.3552685081681224,0.35430760147073415,0.35622941486551063,0.7793717014865617,0.7793356815074033,0.77940772146572
2017-08-01,106617549,106600949.04447757,106634148.95552243,186579019,186552303.64921018,186605734.35078982,279795906,279760599.91474575,279831212.08525425,3.5876331035913527,3.587297384841813,3.5879688223408923,0.3522847501945996,0.3511013686832142,0.353468131705985,0.7768503629209237,0.7767660427135512,0.7769346831282962
2017-09-01,99964143,99945720.01702143,99982565.98297857,190532182,190510394.9392068,190553969.0607932,279933868,279905762.6578052,279961973.3421948,3.5839706701096827,3.5836442538288917,3.5842970863904737,0.34219758236222525,0.34129865734290815,0.34309650738154235,0.7960621831737281,0.7959942659426427,0.7961301004048136
2017-10-01,74368562,74354340.77729678,74382783.22270322,202338776,202316484.62383777,202361067.37616223,298088301,298052943.2485021,298123658.7514979,3.541470686765447,3.541241798376581,3.541699575154313,0.34936987024462174,0.34821676680829483,0.35052297368094865,0.7837914940292712,0.7837292508261795,0.7838537372323628
2017-11-01,104426626,104410152.5419877,104443099.4580123,200128211,200107319.03694782,200149102.96305218,300997365,300958022.2525655,301036707.7474345,3.5032643898465667,3.50293695790251,3.5035918217906237,0.3117733717900692,0.3112486638114653,0.3122980797686731,0.7937297859022837,0.7936649298862684,0.7937946419182991
2017-12-01,106189747,106173120.18015334,106206373.81984666,204765340,204736802.55949864,204793877.44050136,305991170,305954103.2049472,306028236.7950528,3.5217902111753876,3.5214157921326064,3.522164630218169,0.2956097719753585,0.2949177348827613,0.29630180906795567,0.7793750008613902,0.7793253186830553,0.7794246830397251
2018-01-01,65742437,65730901.122483544,65753972.877516456,167481328,167457418.77612105,167505237.22387895,290927234,290898487.8805067,290955980.1194933,3.370703228481685,3.370461922454511,3.3709445345088587,0.3483737044401231,0.34713968302225534,0.3496077258579909,0.790420100634013,0.790355991072441,0.790484210195585
2018-02-01,110992843,110972018.66426262,111013667.33573738,198484638,198457646.4385096,198511629.5614904,298673779,298632922.313801,298714635.686199,3.527844628459357,3.5275566563190677,3.5281326005996463,0.30232020458837,0.30153543794712684,0.30310497122961316,0.7683806854196822,0.7683058613321627,0.7684555095072017
2018-03-01,108452493,108436029.16949031,108468956.83050969,196156986,196131947.17809087,196182024.82190913,293952112,293914470.7338599,293989753.2661401,3.513277783540169,3.5129412290041624,3.513614338076176,0.31397296853729295,0.31316977065881246,0.31477616641577344,0.7786598280259097,0.778602971496835,0.7787166845549844
2018-04-01,64772697,64759179.594223864,64786214.405776136,187045141,187019044.03818417,187071237.96181583,293462530,293425928.08392614,293499131.91607386,3.439811141632383,3.4394687753398947,3.440153507924871,0.340790296585745,0.33948193783448277,0.34209865533700723,0.7768628489833722,0.7768053404359245,0.7769203575308199
2018-05-01,80232319,80216898.05099748,80247739.94900252,186838139,186815261.0356895,186861016.9643105,289921810,289894228.15423775,289949391.84576225,3.3429103519383694,3.342599177824151,3.343221526052588,0.2854886376357327,0.2847892203219139,0.28618805494955146,0.7770598347310849,0.7769907175441502,0.7771289519180196
2018-06-01,95450694,95430473.25542183,95470914.74457817,184101580,184073689.61852503,184129470.38147497,283137045,283100107.20741034,283173982.79258966,3.4485102517859976,3.448240323964624,3.448780179607371,0.30978432472113016,0.3090090233856423,0.310559626056618,0.7700609295044767,0.7700116552236448,0.7701102037853086
2018-07-01,64106071,64086195.56054575,64125946.43945425,178132119,178102717.7792984,178161520.2207016,274497559,274456350.9373708,274538767.0626292,3.515688268436306,3.515356982512175,3.516019554360437,0.358712326467064,0.35764672133504993,0.3597779315990781,0.7655966747569367,0.7655265492442865,0.7656668002695869
2018-08-01,94060788,94045196.97890179,94076379.02109821,169384427,169358756.0756778,169410097.9243222,260013491,259972423.05337888,260054558.94662112,3.4653335574940427,3.4650311573046975,3.465635957683388,0.3654249287682646,0.36456729226786766,0.36628256526866154,0.7663363662344946,0.7662631262830077,0.7664096061859815
2018-09-01,67175603,67156922.95746115,67194283.04253885,173612701,173584307.40599445,173641094.59400555,258982437,258941769.33109668,259023104.66890332,3.5077460433035945,3.507457323000913,3.508034763606276,0.362538742510829,0.36114859889975287,0.36392888612190516,0.7743993977920539,0.7743381856535331,0.7744606099305748
2018-10-01,101831491,101814220.4538231,101848761.5461769,186243659,186210845.12715077,186276472.87284923,279027483,278988035.0069788,279066930.9930212,3.490115521194738,3.4898634570790144,3.4903675853104614,0.30274310819307004,0.30175922738422684,0.30372698900191325,0.7690886173996293,0.7690168056604344,0.7691604291388242
2018-11-01,91024408,91004275.7383557,91044540.2616443,181162106,181137163.28952253,181187048.71047747,278767648,278734573.76298565,278800722.23701435,3.4587502311327736,3.458395701617097,3.45910476064845,0.31124098495414754,0.31006061013659625,0.3124213597716988,0.7805924998448246,0.7805367795692875,0.7806482201203617
2018-12-01,70622114,70603609.38195866,70640618.61804134,183988571,183959522.25209793,184017619.74790207,278715493,278676469.39204,278754516.60796,3.5202117635882937,3.5199366124839986,3.520486914692589,0.3390345941642199,0.33814889172116624,0.3399202966072735,0.7706117926286554,0.7705384824054259,0.770685102851885
