date,dau,dau_low,dau_high,wau,wau_low,wau_high,mau,mau_low,mau_high,intensity,intensity_low,intensity_high,retention_1_week_new_profile,retention_1_week_new_profile_low,retention_1_week_new_profile_high,retention_1_week_active_in_week_0,retention_1_week_active_in_week_0_low,retention_1_week_active_in_week_0_high
2017-06-17,77591476,77576414.84780468,77606537.15219532,196462047,196437491.97917402,196486602.02082598,294862877,294826937.52653533,294898816.47346467,3.6000205016697193,3.5997281909887473,3.6003128123506913,0.34198492619601184,0.34087872124276497,0.3430911311492587,0.7674477817476482,0.7674002000030481,0.7674953634922482
2017-06-18,74638691,74621305.61002116,74656076.38997884,196255909,196228845.34188673,196282972.65811327,294545899,294508681.57241213,294583116.42758787,3.597918032623415,3.5975946041321065,3.5982414611147235,0.34219012899607404,0.3407925472469781,0.34358771074516997,0.7695065874853382,0.7694553590122484,0.769557815958428
2017-06-19,112861539,112838590.86104886,112884487.13895114,196877025,196849183.66751805,196904866.33248195,294135779,294097810.14361674,294173747.85638326,3.5844205031033964,3.5840509761641846,3.5847900300426083,0.3086392328909128,0.3076103303814456,0.30966813540037996,0.772470381684439,0.7724214029001808,0.7725193604686973
2017-06-20,113281739,113266557.66901995,113296920.33098005,196616434,196589108.34215593,196643759.65784407,293644090,293606600.8047005,293681579.1952995,3.5778027995360753,3.577529358805393,3.5780762402667574,0.30855042462237947,0.3078112244762394,0.30928962476851957,0.7842841674776487,0.7842265008908056,0.7843418340644919
2017-06-21,112139807,112118522.55803712,112161091.44196288,195768847,195741191.63932496,195796502.36067504,293097814,293060172.99769896,293135455.00230104,3.584171954590916,3.5839299011743333,3.584414008007499,0.31254212454212454,0.31171073224901524,0.31337351683523385,0.7868933103775698,0.7868441221546657,0.7869424986004739
2017-06-22,110973364,110953231.88761188,110993496.11238812,195249263,195220772.92833564,195277753.07166436,292851157,292813040.9257622,292889273.0742378,3.6164867213864977,3.616189014641079,3.6167844281319166,0.30891498882473023,0.30799465192980063,0.3098353257196598,0.7872398538398108,0.7871866743522308,0.7872930333273908
2017-06-23,103278195,103258490.31049046,103297899.68950954,194045799,194017760.1769461,194073837.8230539,292515659,292475673.88660234,292555644.11339766,3.6319508828944036,3.631655801097178,3.6322459646916294,0.3107529628273266,0.3097915789359498,0.31171434671870346,0.7845403189624173,0.7844836253302384,0.7845970125945961
2017-06-24,75490213,75474009.78606728,75506416.21393272,193651209,193623086.1518154,193679331.8481846,292339967,292299073.1193408,292380860.8806592,3.628500703034599,3.628209741165709,3.628791664903489,0.3398084364711091,0.33885595259906137,0.3407609203431568,0.7768909035341633,0.7768359201765385,0.7769458868917882
2017-06-25,72416733,72402525.822732,72430940.177268,193251368,193223151.9789143,193279584.0210857,292136174,292095995.84284484,292176352.15715516,3.6245103838023023,3.6242355129949084,3.624785254609696,0.34146414509323775,0.3404246419772513,0.3425036482092242,0.7750139066595465,0.7749657770925792,0.7750620362265138
2017-06-26,103957374,103941567.70953745,103973180.29046255,192814577,192787741.9113093,192841412.0886907,291877024,291838361.42557186,291915686.57442814,3.586541203261826,3.5862637972283227,3.5868186092953294,0.3076604390076154,0.30684668151322114,0.3084741965020097,0.7738702613258299,0.7738274217033864,0.7739131009482735
