date,adi
2014-09-12,132680504
2014-09-13,100427487
2014-09-14,100651459
2014-09-15,142279723
2014-09-16,141094538
2014-09-17,140834261
2014-09-18,139841683
2014-09-19,131982220
2014-09-20,100373262
2014-09-21,101333405
2014-09-22,143951368
2014-09-23,142365450
2014-09-24,141004514
2014-09-25,138668275
2014-09-26,132178572
2014-09-27,99492668
2014-09-28,100352662
2014-09-29,142177478
2014-09-30,143184567
2014-10-01,139831670
2014-10-02,135891334
2014-10-03,125040204
2014-10-04,96424022
2014-10-05,97248707
2014-10-06,133733099
2014-10-07,128506805
2014-10-08,140637584
2014-10-09,139627087
2014-10-10,131519442
2014-10-11,100009150
2014-10-12,99264483
2014-10-13,140127508
2014-10-14,141687546
2014-10-15,139968639
2014-10-16,140570364
2014-10-17,132513412
2014-10-18,99681703
2014-10-19,99536147
2014-10-20,143008661
2014-10-21,142660476
2014-10-22,140029344
2014-10-23,136787417
2014-10-24,129585379
2014-10-25,98756061
2014-10-26,100005888
2014-10-27,142530857
2014-10-28,141344755
2014-10-29,140977113
2014-10-30,139314609
2014-10-31,129170940
2014-11-01,99585605
2014-11-02,101024206
2014-11-03,140926141
2014-11-04,141119309
2014-11-05,143655365
2014-11-06,141641761
2014-11-07,134164924
2014-11-08,101247498
2014-11-09,101621965
2014-11-10,142911232
2014-11-11,139150473
2014-11-12,143980791
2014-11-13,142163392
2014-11-14,134519466
2014-11-15,101041715
2014-11-16,101812639
2014-11-17,143912299
2014-11-18,144489846
2014-11-19,142602693
2014-11-20,140483731
2014-11-21,133019214
2014-11-22,100723178
2014-11-23,100904963
2014-11-24,142984329
2014-11-25,142686694
2014-11-26,138303033
2014-11-27,130500745
2014-11-28,126183296
2014-11-29,99880478
2014-11-30,101325691
2014-12-01,144812281
2014-12-02,144272954
2014-12-03,142242877
2014-12-04,140702613
2014-12-05,132363981
2014-12-06,100132790
2014-12-07,99799074
2014-12-08,138865599
2014-12-09,143124468
2014-12-10,140390521
2014-12-11,139282271
2014-12-12,130846724
2014-12-13,98470764
2014-12-14,98906967
2014-12-15,141145656
2014-12-16,139225616
2014-12-17,136913505
2014-12-18,134325266
2014-12-19,125797382
2014-12-20,96512999
2014-12-21,93023269
2014-12-22,125200477
2014-12-23,118575783
2014-12-24,100323973
2014-12-25,86799533
2014-12-26,98709306
2014-12-27,92173132
2014-12-28,89800628
2014-12-29,116827798
2014-12-30,113615422
2014-12-31,96269167
2015-01-01,85005423
2015-01-02,103520234
2015-01-03,93756958
2015-01-04,94913822
2015-01-05,129268454
2015-01-06,126701049
2015-01-07,131776685
2015-01-08,132830625
2015-01-09,127332900
2015-01-10,99000553
2015-01-11,97202269
2015-01-12,138592943
2015-01-13,138589247
2015-01-14,137030317
2015-01-15,135515947
2015-01-16,129013736
2015-01-17,97772713
2015-01-18,97032977
2015-01-19,135692873
2015-01-20,138707147
2015-01-21,137942332
2015-01-22,137056474
2015-01-23,130191764
2015-01-24,98928337
2015-01-25,97439438
2015-01-26,138195041
2015-01-27,139265561
2015-01-28,138250824
2015-01-29,137054646
2015-01-30,130199007
2015-01-31,99245275
2015-02-01,97907988
2015-02-02,138337547
2015-02-03,138550001
2015-02-04,137751503
2015-02-05,136637726
2015-02-06,129608016
2015-02-07,97753517
2015-02-08,97363611
2015-02-09,138873462
2015-02-10,137874649
2015-02-11,135259922
2015-02-12,134160814
2015-02-13,126220442
2015-02-14,94401439
2015-02-15,94027114
2015-02-16,126469085
2015-02-17,127445375
2015-02-18,130740903
2015-02-19,128751327
2015-02-20,124013029
2015-02-21,96130781
2015-02-22,95500849
2015-02-23,133883138
2015-02-24,136722162
2015-02-25,135726573
2015-02-26,134739553
2015-02-27,127926876
2015-02-28,97683273
2015-03-01,97236915
2015-03-02,138838955
2015-03-03,138483134
2015-03-04,137027660
2015-03-05,134601348
2015-03-06,126105517
2015-03-07,96016089
2015-03-08,94574222
2015-03-09,136216025
2015-03-10,138314646
2015-03-11,136541126
2015-03-12,135310139
2015-03-13,128155273
2015-03-14,96376952
2015-03-15,96110022
2015-03-16,138030652
2015-03-17,136913830
2015-03-18,135419841
2015-03-19,133972006
2015-03-20,127043999
2015-03-21,94259201
2015-03-22,95838081
2015-03-23,136860932
2015-03-24,136222902
2015-03-25,134746365
2015-03-26,134084236
2015-03-27,126743136
2015-03-28,94221581
2015-03-29,93267590
2015-03-30,135781730
2015-03-31,134278096
2015-04-01,130741329
2015-04-02,122969021
2015-04-03,104974568
2015-04-04,89567069
2015-04-05,85653888
2015-04-06,118419965
2015-04-07,134547841
2015-04-08,133694291
2015-04-09,131151253
2015-04-10,123262069
2015-04-11,92883507
2015-04-12,92115312
2015-04-13,134829161
2015-04-14,134637572
2015-04-15,133704452
2015-04-16,132956335
2015-04-17,126426288
2015-04-18,93555359
2015-04-19,93522368
2015-04-20,136162365
2015-04-21,132929797
2015-04-22,134972961
2015-04-23,132570800
2015-04-24,125317630
2015-04-25,93797288
2015-04-26,93967082
2015-04-27,137170621
2015-04-28,136082087
2015-04-29,133796798
2015-04-30,128570700
2015-05-01,98219375
2015-05-02,89679922
2015-05-03,91851327
2015-05-04,131841066
2015-05-05,134895324
2015-05-06,134013207
2015-05-07,132398416
2015-05-08,122077836
2015-05-09,91661980
2015-05-10,90846515
2015-05-11,134438014
2015-05-12,135818760
2015-05-13,132561175
2015-05-14,122981386
2015-05-15,121752565
2015-05-16,90485968
2015-05-17,92055464
2015-05-18,135714959
2015-05-19,135417884
2015-05-20,134117630
2015-05-21,131872470
2015-05-22,122811013
2015-05-23,89550646
2015-05-24,87107055
2015-05-25,119199862
2015-05-26,134303365
2015-05-27,132511604
2015-05-28,130855259
2015-05-29,122659627
2015-05-30,90590582
2015-05-31,90429771
2015-06-01,131360871
2015-06-02,129407275
2015-06-03,128799213
2015-06-04,120778128
2015-06-05,117685413
2015-06-06,87567689
2015-06-07,88083783
2015-06-08,132652090
2015-06-09,131782044
2015-06-10,129662788
2015-06-11,126839802
2015-06-12,116583450
2015-06-13,87346992
2015-06-14,88545035
2015-06-15,131546846
2015-06-16,129893473
2015-06-17,127554809
2015-06-18,125953022
2015-06-19,117795004
2015-06-20,87358122
2015-06-21,87281245
2015-06-22,128808407
2015-06-23,128306801
2015-06-24,125121945
2015-06-25,124383218
2015-06-26,116346218
2015-06-27,87144033
2015-06-28,86607812
2015-06-29,126328193
2015-06-30,126374414
2015-07-01,123490253
2015-07-02,121439414
2015-07-03,109995064
2015-07-04,82507487
2015-07-05,83303686
2015-07-06,123507275
2015-07-07,123482335
2015-07-08,122415353
2015-07-09,120515325
2015-07-10,113087597
2015-07-11,83501441
2015-07-12,83690457
2015-07-13,121933875
2015-07-14,120398256
2015-07-15,119463987
2015-07-16,114956421
2015-07-17,105839169
2015-07-18,78615206
2015-07-19,80017311
2015-07-20,116920886
2015-07-21,117307741
2015-07-22,117059698
2015-07-23,116195796
2015-07-24,109154504
2015-07-25,82727851
2015-07-26,82131741
2015-07-27,120843667
2015-07-28,119786114
2015-07-29,119377838
2015-07-30,117399761
2015-07-31,110223517
2015-08-01,82793166
2015-08-02,81511965
2015-08-03,118597514
2015-08-04,118637148
2015-08-05,116978514
2015-08-06,115326787
2015-08-07,108744369
2015-08-08,82119095
2015-08-09,81485048
2015-08-10,118323005
2015-08-11,117223886
2015-08-12,116393316
2015-08-13,113808894
2015-08-14,108124922
2015-08-15,80427129
2015-08-16,82626462
2015-08-17,118190231
2015-08-18,119988357
2015-08-19,118985690
2015-08-20,116757537
2015-08-21,110287335
2015-08-22,83161759
2015-08-23,84210305
2015-08-24,124070501
2015-08-25,123866002
2015-08-26,122235212
2015-08-27,121537308
2015-08-28,114305866
2015-08-29,84124934
2015-08-30,85376778
2015-08-31,126206042
2015-09-01,127815039
2015-09-02,126577515
2015-09-03,125027239
2015-09-04,117524143
2015-09-05,86307020
2015-09-06,87279872
2015-09-07,119753369
2015-09-08,129538617
2015-09-09,129194533
2015-09-10,127924374
2015-09-11,120339093
2015-09-12,87859844
2015-09-13,88765352
2015-09-14,131917829
2015-09-15,130968112
2015-09-16,129167118
2015-09-17,127610883
2015-09-18,120958963
2015-09-19,88044346
2015-09-20,88279287
2015-09-21,131575410
2015-09-22,131104910
2015-09-23,128380620
2015-09-24,123132487
2015-09-25,119240614
2015-09-26,87718859
2015-09-27,87897482
2015-09-28,133088746
2015-09-29,133590915
2015-09-30,132418302
2015-10-01,129261472
2015-10-02,119634332
2015-10-03,89004827
2015-10-04,89481015
2015-10-05,132847389
2015-10-06,132454189
2015-10-07,131261438
2015-10-08,130706138
2015-10-09,122280197
2015-10-10,89986363
2015-10-11,88404502
2015-10-12,125474683
2015-10-13,133665371
2015-10-14,130727769
2015-10-15,130918802
2015-10-16,122919650
2015-10-17,90350303
2015-10-18,89972244
2015-10-19,133719042
2015-10-20,132795870
2015-10-21,130942547
2015-10-22,127480057
2015-10-23,120675998
2015-10-24,88207859
2015-10-25,90903295
2015-10-26,133541892
2015-10-27,133307400
2015-10-28,132032487
2015-10-29,130562312
2015-10-30,121977680
2015-10-31,90120781
2015-11-01,89595678
2015-11-02,130346153
2015-11-03,134275538
2015-11-04,117283484
2015-11-05,132790761
2015-11-06,125158463
2015-11-07,91818114
2015-11-08,91201404
2015-11-09,129233593
2015-11-10,132846459
2015-11-11,125335302
2015-11-12,130742702
2015-11-13,123663401
2015-11-14,90485706
2015-11-15,91157954
2015-11-16,134402017
2015-11-17,134736963
2015-11-18,133485177
2015-11-19,131611305
2015-11-20,124631403
2015-11-21,92288316
2015-11-22,91297452
2015-11-23,134896729
2015-11-24,134160540
2015-11-25,129242386
2015-11-26,122058883
2015-11-27,117565813
2015-11-28,90647885
2015-11-29,91513453
2015-11-30,136987741
2015-12-01,135774148
2015-12-02,133221085
2015-12-03,132293208
2015-12-04,124734466
2015-12-05,91308693
2015-12-06,90458285
2015-12-07,132624839
2015-12-08,130130397
2015-12-09,132438708
2015-12-10,131537079
2015-12-11,123972742
2015-12-12,90521047
2015-12-13,90673656
2015-12-14,134708769
2015-12-15,133200422
2015-12-16,130132015
2015-12-17,128513884
2015-12-18,120065509
2015-12-19,88574421
2015-12-20,86445294
2015-12-21,122923505
2015-12-22,118894811
2015-12-23,111106841
2015-12-24,88753797
2015-12-25,77321354
2015-12-26,80505614
2015-12-27,81020681
2015-12-28,110714779
2015-12-29,109248661
2015-12-30,106497440
2015-12-31,88441882
2016-01-01,75723856
2016-01-02,84745179
2016-01-03,85989412
2016-01-04,123591746
2016-01-05,123893907
2016-01-06,119455691
2016-01-07,124556702
2016-01-08,119960824
2016-01-09,90882486
2016-01-10,89763981
2016-01-11,132698948
2016-01-12,132709214
2016-01-13,131156425
2016-01-14,129393493
2016-01-15,122568006
2016-01-16,91013834
2016-01-17,89676636
2016-01-18,130214504
2016-01-19,132955733
2016-01-20,131644574
2016-01-21,130887616
2016-01-22,123896424
2016-01-23,91980217
2016-01-24,90480614
2016-01-25,133391014
2016-01-26,131282609
2016-01-27,132744722
2016-01-28,131515245
2016-01-29,124214786
2016-01-30,92116435
2016-01-31,91481134
2016-02-01,134340470
2016-02-02,133820001
2016-02-03,132327822
2016-02-04,130204956
2016-02-05,122184959
2016-02-06,89657427
2016-02-07,87968412
2016-02-08,122531740
2016-02-09,124666806
2016-02-10,127916422
2016-02-11,127122833
2016-02-12,120379800
2016-02-13,81506660
2016-02-14,89551106
2016-02-15,130000465
2016-02-16,132110910
2016-02-17,131441674
2016-02-18,130600401
2016-02-19,123674068
2016-02-20,93522558
2016-02-21,90547659
2016-02-22,132302299
2016-02-23,132599034
2016-02-24,132778193
2016-02-25,131521294
2016-02-26,124282706
2016-02-27,91934830
2016-02-28,91715695
2016-02-29,136081003
2016-03-01,135524036
2016-03-02,133899261
2016-03-03,132491517
2016-03-04,125146262
2016-03-05,92627803
2016-03-06,90991145
2016-03-07,131861008
2016-03-08,131130728
2016-03-09,132189174
2016-03-10,131617921
2016-03-11,124701281
2016-03-12,91725924
2016-03-13,89698035
2016-03-14,134549165
2016-03-15,134124867
2016-03-16,132539680
2016-03-17,129997516
2016-03-18,122771831
2016-03-19,89745508
2016-03-20,88753324
2016-03-21,130314337
2016-03-22,129947546
2016-03-23,126059952
2016-03-24,118120922
2016-03-25,100788280
2016-03-26,84320297
2016-03-27,80159560
2016-03-28,116043882
2016-03-29,132069135
2016-03-30,131418263
2016-03-31,130334639
2016-04-01,122984982
2016-04-02,90407419
2016-04-03,89156593
2016-04-04,133149464
2016-04-05,134009974
2016-04-06,132744202
2016-04-07,131598054
2016-04-08,123120953
2016-04-09,90684151
2016-04-10,90459744
2016-04-11,134627120
2016-04-12,134515578
2016-04-13,132177457
2016-04-14,129337292
2016-04-15,122450759
2016-04-16,89485373
2016-04-17,89151146
2016-04-18,134326093
2016-04-19,133315708
2016-04-20,131567371
2016-04-21,126645550
2016-04-22,121421923
2016-04-23,89918084
2016-04-24,89736884
2016-04-25,134301351
2016-04-26,135025519
2016-04-27,132203204
2016-04-28,130330693
2016-04-29,120672963
2016-04-30,87569151
2016-05-01,85254048
2016-05-02,122941916
2016-05-03,127875094
2016-05-04,129087351
2016-05-05,116904862
2016-05-06,114921642
2016-05-07,85843568
2016-05-08,85119761
2016-05-09,129672603
2016-05-10,132767683
2016-05-11,131362310
2016-05-12,129598367
2016-05-13,121603357
2016-05-14,87177481
2016-05-15,85602346
2016-05-16,124802206
2016-05-17,132244340
2016-05-18,130334191
2016-05-19,128421012
2016-05-20,120082779
2016-05-21,84899480
2016-05-22,84883752
2016-05-23,131719108
2016-05-24,131178444
2016-05-25,127273273
2016-05-26,119146353
2016-05-27,113681634
2016-05-28,82640988
2016-05-29,83172533
2016-05-30,122716203
2016-05-31,129794079
2016-06-01,127396127
2016-06-02,124526923
2016-06-03,117328232
2016-06-04,83517526
2016-06-05,83803621
2016-06-06,127251519
2016-06-07,126693987
2016-06-08,125437522
2016-06-09,122723421
2016-06-10,114300724
2016-06-11,83705848
2016-06-12,84996256
2016-06-13,126641526
2016-06-14,127276414
2016-06-15,124919567
2016-06-16,122018016
2016-06-17,114661829
2016-06-18,82354168
2016-06-19,81759104
2016-06-20,124777529
2016-06-21,123777378
2016-06-22,121469280
2016-06-23,118949705
2016-06-24,110260237
2016-06-25,81213563
2016-06-26,80922780
2016-06-27,122811907
2016-06-28,122392680
2016-06-29,120541977
2016-06-30,119365760
2016-07-01,109747030
2016-07-02,79782159
2016-07-03,78677510
2016-07-04,111576374
2016-07-05,114380878
2016-07-06,110175373
2016-07-07,110145949
2016-07-08,106033695
2016-07-09,77692417
2016-07-10,77412474
2016-07-11,118410965
2016-07-12,118069684
2016-07-13,116240362
2016-07-14,113484985
2016-07-15,107603626
2016-07-16,78235676
2016-07-17,76767571
2016-07-18,115718771
2016-07-19,114957127
2016-07-20,113792613
2016-07-21,113904380
2016-07-22,106964847
2016-07-23,78268253
2016-07-24,77211195
2016-07-25,116406792
2016-07-26,115810679
2016-07-27,114442865
